DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-09-30,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,40
1987-09-30,OREGON,OREGON,NINTH CIRCUIT,19
1987-09-30,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,0
1987-09-30,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,0
1987-09-30,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,0
1987-09-30,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,0
1987-09-30,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,0
1987-09-30,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,4
1987-09-30,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,77
1987-09-30,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,0
1987-09-30,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,3
1987-09-30,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,8
1987-09-30,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,3
1987-09-30,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,25
1987-09-30,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,9
1987-09-30,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,4
1987-09-30,UTAH,UTAH,TENTH CIRCUIT,5
1987-09-30,VERMONT,VERMONT,SECOND CIRCUIT,1
1987-09-30,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,0
1987-09-30,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,4
1987-09-30,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,3
1987-09-30,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,31
1987-09-30,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,1
1987-09-30,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,1
1987-09-30,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,1
1987-09-30,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,7
1987-09-30,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,30
1987-09-30,WYOMING,WYOMING,TENTH CIRCUIT,5
1987-12-31,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,5
1987-12-31,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,3.5
1987-12-31,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,4
1987-12-31,ALASKA,ALASKA,NINTH CIRCUIT,0
1987-12-31,ARIZONA,ARIZONA,NINTH CIRCUIT,2.5
1987-12-31,ARKANSAS,ARKANSAS,EIGHTH CIRCUIT,0
1987-12-31,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,14.5
1987-12-31,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,2
1987-12-31,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,2
1987-12-31,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,23
1987-12-31,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,1
1987-12-31,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,1
1987-12-31,COLORADO,COLORADO,TENTH CIRCUIT,15
1987-12-31,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,0
1987-12-31,DELAWARE,DELAWARE,THIRD CIRCUIT,0
1987-12-31,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,0
1987-12-31,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,8
