STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
WYOMING,WYOMING,WY,TENTH CIRCUIT,10TH,2013-01-31,1,74,62,1,0,11,5,4,1,0,0,69,58,0,11,NA,NA,NA,NA,NA,2013.1,2013,2013,WY
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,11TH,2013-02-28,2,597,179,3,0,415,13,9,3,0,1,584,170,0,414,NA,NA,NA,NA,NA,2013.1,2013,2013,AL
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,11TH,2013-02-28,2,1338,720,3,0,615,31,27,3,0,1,1307,693,0,614,NA,NA,NA,NA,NA,2013.1,2013,2013,AL
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,11TH,2013-02-28,2,354,96,3,0,255,6,4,2,0,0,348,92,1,255,NA,NA,NA,NA,NA,2013.1,2013,2013,AL
ALASKA,ALASKA,AK,NINTH CIRCUIT,9TH,2013-02-28,2,53,45,0,0,8,3,3,0,0,0,50,42,0,8,NA,NA,NA,NA,NA,2013.1,2013,2013,AK
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,9TH,2013-02-28,2,1532,1290,36,1,205,92,56,32,1,3,1440,1234,4,202,NA,NA,NA,NA,NA,2013.1,2013,2013,AZ
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,8TH,2013-02-28,2,677,325,0,0,352,8,6,0,0,2,669,319,0,350,NA,NA,NA,NA,NA,2013.1,2013,2013,AR
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,8TH,2013-02-28,2,410,247,1,1,161,10,7,1,1,1,400,240,0,160,NA,NA,NA,NA,NA,2013.1,2013,2013,AR
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,9TH,2013-02-28,2,6614,5328,55,0,1231,207,163,37,0,7,6407,5165,18,1224,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,9TH,2013-02-28,2,2424,1973,13,4,434,63,41,9,4,9,2361,1932,4,425,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,9TH,2013-02-28,2,1635,1031,23,0,581,79,56,17,0,6,1556,975,6,575,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,9TH,2013-02-28,2,1069,892,8,0,169,36,28,6,0,2,1033,864,2,167,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
COLORADO,COLORADO,CO,TENTH CIRCUIT,10TH,2013-02-28,2,1560,1311,13,0,236,65,47,13,0,5,1495,1264,0,231,NA,NA,NA,NA,NA,2013.1,2013,2013,CO
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,2ND,2013-02-28,2,468,398,7,0,63,25,18,7,0,0,443,380,0,63,NA,NA,NA,NA,NA,2013.1,2013,2013,CT
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3RD,2013-02-28,2,233,158,22,0,53,31,8,22,0,1,202,150,0,52,NA,NA,NA,NA,NA,2013.1,2013,2013,DE
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,DC,2013-02-28,2,56,47,2,0,7,3,1,2,0,0,53,46,0,7,NA,NA,NA,NA,NA,2013.1,2013,2013,DC
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11TH,2013-02-28,2,3225,2331,40,1,853,126,92,28,1,5,3099,2239,12,848,NA,NA,NA,NA,NA,2013.1,2013,2013,FL
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11TH,2013-02-28,2,266,220,2,1,43,21,16,2,1,2,245,204,0,41,NA,NA,NA,NA,NA,2013.1,2013,2013,FL
