STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,06/30/89,1989-06-30,NA,-1,-1
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/89,1989-06-30,NA,0,0
IDAHO,IDAHO,ID,NINTH CIRCUIT,41,06/30/89,1989-06-30,NA,18,18
MONTANA,MONTANA,MT,NINTH CIRCUIT,68,06/30/89,1989-06-30,NA,11,11
NEVADA,NEVADA,NV,NINTH CIRCUIT,4,06/30/89,1989-06-30,NA,0,0
OREGON,OREGON,OR,NINTH CIRCUIT,38,06/30/89,1989-06-30,NA,9,9
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,58,06/30/89,1989-06-30,NA,15,15
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,7,06/30/89,1989-06-30,NA,3,3
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/89,1989-06-30,NA,0,0
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/89,1989-06-30,NA,0,0
NA,TOTAL,NA,TENTH CIRCUIT,209,06/30/89,1989-06-30,NA,42,42
COLORADO,COLORADO,CO,TENTH CIRCUIT,52,06/30/89,1989-06-30,NA,1,1
KANSAS,KANSAS,KS,TENTH CIRCUIT,42,06/30/89,1989-06-30,NA,10,10
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,13,06/30/89,1989-06-30,NA,4,4
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,6,06/30/89,1989-06-30,NA,3,3
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,15,06/30/89,1989-06-30,NA,6,6
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,62,06/30/89,1989-06-30,NA,13,13
UTAH,UTAH,UT,TENTH CIRCUIT,7,06/30/89,1989-06-30,NA,0,0
WYOMING,WYOMING,WY,TENTH CIRCUIT,12,06/30/89,1989-06-30,NA,5,5
NA,TOTAL,NA,ELEVENTH CIRCUIT,94,06/30/89,1989-06-30,NA,16,16
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,7,06/30/89,1989-06-30,NA,10,10
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,9,06/30/89,1989-06-30,NA,0,0
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4,06/30/89,1989-06-30,NA,0,0
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,7,06/30/89,1989-06-30,NA,7,7
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11,06/30/89,1989-06-30,NA,-9,-9
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,06/30/89,1989-06-30,NA,-5,-5
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,1,06/30/89,1989-06-30,NA,2,2
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,45,06/30/89,1989-06-30,NA,18,18
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,10,06/30/89,1989-06-30,NA,-7,-7
NA,TOTAL,NA,TOTAL,1833,03/31/89,1989-03-31,NA,418,NA
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NA,TOTAL,NA,FIRST CIRCUIT,7,03/31/89,1989-03-31,NA,1,NA
MAINE,MAINE,ME,FIRST CIRCUIT,1,03/31/89,1989-03-31,NA,0,NA
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,6,03/31/89,1989-03-31,NA,1,NA
NA,TOTAL,NA,SECOND CIRCUIT,28,03/31/89,1989-03-31,NA,5.5,NA
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,16,03/31/89,1989-03-31,NA,2,NA
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,3,03/31/89,1989-03-31,NA,1,NA
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,6,03/31/89,1989-03-31,NA,1.5,NA
VERMONT,VERMONT,VT,SECOND CIRCUIT,3,03/31/89,1989-03-31,NA,1,NA
NA,TOTAL,NA,THIRD CIRCUIT,10,03/31/89,1989-03-31,NA,4,NA
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,5,03/31/89,1989-03-31,NA,3,NA
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,3,03/31/89,1989-03-31,NA,0.5,NA
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,2,03/31/89,1989-03-31,NA,0.5,NA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NA,TOTAL,NA,FOURTH CIRCUIT,52,03/31/89,1989-03-31,NA,15,NA
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,2,03/31/89,1989-03-31,NA,0.5,NA
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,13,03/31/89,1989-03-31,NA,4,NA
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,6,03/31/89,1989-03-31,NA,0,NA
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4,03/31/89,1989-03-31,NA,0.5,NA
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,15,03/31/89,1989-03-31,NA,5.5,NA
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,5,03/31/89,1989-03-31,NA,2,NA
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,3,03/31/89,1989-03-31,NA,1,NA
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3,03/31/89,1989-03-31,NA,1,NA
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,03/31/89,1989-03-31,NA,0.5,NA
NA,TOTAL,NA,FIFTH CIRCUIT,189,03/31/89,1989-03-31,NA,45.5,NA
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,03/31/89,1989-03-31,NA,-0.5,NA
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,2,03/31/89,1989-03-31,NA,0,NA
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,62,03/31/89,1989-03-31,NA,13,NA
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,18,03/31/89,1989-03-31,NA,6.5,NA
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,7,03/31/89,1989-03-31,NA,1.5,NA
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,62,03/31/89,1989-03-31,NA,15,NA
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,13,03/31/89,1989-03-31,NA,4,NA
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,10,03/31/89,1989-03-31,NA,0.5,NA
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,15,03/31/89,1989-03-31,NA,5.5,NA
NA,TOTAL,NA,SIXTH CIRCUIT,220,03/31/89,1989-03-31,NA,57.5,NA
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,6,03/31/89,1989-03-31,NA,0,NA
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,19,03/31/89,1989-03-31,NA,3.5,NA
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,54,03/31/89,1989-03-31,NA,16.5,NA
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,14,03/31/89,1989-03-31,NA,3.5,NA
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,32,03/31/89,1989-03-31,NA,9.5,NA
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,62,03/31/89,1989-03-31,NA,17.5,NA
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,6,03/31/89,1989-03-31,NA,0.5,NA
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,12,03/31/89,1989-03-31,NA,2.5,NA
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,15,03/31/89,1989-03-31,NA,4,NA
NA,TOTAL,NA,SEVENTH CIRCUIT,230,03/31/89,1989-03-31,NA,54.5,NA
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,14,03/31/89,1989-03-31,NA,4,NA
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,64,03/31/89,1989-03-31,NA,15.5,NA
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,19,03/31/89,1989-03-31,NA,5.5,NA
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,37,03/31/89,1989-03-31,NA,7,NA
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,43,03/31/89,1989-03-31,NA,8,NA
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,9,03/31/89,1989-03-31,NA,2.5,NA
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,44,03/31/89,1989-03-31,NA,12,NA
NA,TOTAL,NA,EIGHTH CIRCUIT,475,03/31/89,1989-03-31,NA,113.5,NA
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,28,03/31/89,1989-03-31,NA,7.5,NA
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,10,03/31/89,1989-03-31,NA,2,NA
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,27,03/31/89,1989-03-31,NA,2.5,NA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,21,03/31/89,1989-03-31,NA,3.5,NA
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,58,03/31/89,1989-03-31,NA,17.5,NA
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,30,03/31/89,1989-03-31,NA,6,NA
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,54,03/31/89,1989-03-31,NA,12.5,NA
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,102,03/31/89,1989-03-31,NA,20.5,NA
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,65,03/31/89,1989-03-31,NA,20,NA
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,80,03/31/89,1989-03-31,NA,22,NA
NA,TOTAL,NA,NINTH CIRCUIT,328,03/31/89,1989-03-31,NA,86,NA
ALASKA,ALASKA,AK,NINTH CIRCUIT,2,03/31/89,1989-03-31,NA,0.5,NA
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,10,03/31/89,1989-03-31,NA,3.5,NA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,6,03/31/89,1989-03-31,NA,0.5,NA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,75,03/31/89,1989-03-31,NA,21.5,NA
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,5,03/31/89,1989-03-31,NA,2,NA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,03/31/89,1989-03-31,NA,1.5,NA
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
IDAHO,IDAHO,ID,NINTH CIRCUIT,41,03/31/89,1989-03-31,NA,7,NA
MONTANA,MONTANA,MT,NINTH CIRCUIT,79,03/31/89,1989-03-31,NA,20,NA
NEVADA,NEVADA,NV,NINTH CIRCUIT,7,03/31/89,1989-03-31,NA,0,NA
OREGON,OREGON,OR,NINTH CIRCUIT,39,03/31/89,1989-03-31,NA,10.5,NA
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,58,03/31/89,1989-03-31,NA,18,NA
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,4,03/31/89,1989-03-31,NA,1,NA
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,03/31/89,1989-03-31,NA,0,NA
NA,TOTAL,NA,TENTH CIRCUIT,212,03/31/89,1989-03-31,NA,54.5,NA
COLORADO,COLORADO,CO,TENTH CIRCUIT,57,03/31/89,1989-03-31,NA,19,NA
KANSAS,KANSAS,KS,TENTH CIRCUIT,46,03/31/89,1989-03-31,NA,10.5,NA
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,12,03/31/89,1989-03-31,NA,2.5,NA
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,4,03/31/89,1989-03-31,NA,1,NA
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,12,03/31/89,1989-03-31,NA,3,NA
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,56,03/31/89,1989-03-31,NA,15.5,NA
UTAH,UTAH,UT,TENTH CIRCUIT,11,03/31/89,1989-03-31,NA,3,NA
WYOMING,WYOMING,WY,TENTH CIRCUIT,14,03/31/89,1989-03-31,NA,0,NA
NA,TOTAL,NA,ELEVENTH CIRCUIT,82,03/31/89,1989-03-31,NA,31,NA
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,9,03/31/89,1989-03-31,NA,-1.5,NA
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,8,03/31/89,1989-03-31,NA,4.5,NA
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,3,03/31/89,1989-03-31,NA,2,NA
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,8,03/31/89,1989-03-31,NA,0,NA
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,10,03/31/89,1989-03-31,NA,9,NA
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,03/31/89,1989-03-31,NA,2.5,NA
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,0,03/31/89,1989-03-31,NA,-0.5,NA
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,34,03/31/89,1989-03-31,NA,8.5,NA
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,10,03/31/89,1989-03-31,NA,6.5,NA
NA,TOTAL,NA,TOTAL,NA,12/31/88,1988-12-31,NA,418,NA
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NA,TOTAL,NA,FIRST CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
MAINE,MAINE,ME,FIRST CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
NA,TOTAL,NA,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,5.5,NA
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,2,NA
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,1.5,NA
VERMONT,VERMONT,VT,SECOND CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
NA,TOTAL,NA,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,4,NA
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,3,NA
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NA,TOTAL,NA,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,15,NA
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,4,NA
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,5.5,NA
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2,NA
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
NA,TOTAL,NA,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,45.5,NA
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,-0.5,NA
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,13,NA
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,6.5,NA
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,1.5,NA
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,15,NA
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,4,NA
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,NA,12/31/88,1988-12-31,NA,5.5,NA
NA,TOTAL,NA,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,57.5,NA
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,3.5,NA
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,16.5,NA
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,3.5,NA
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,9.5,NA
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,17.5,NA
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2.5,NA
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,NA,12/31/88,1988-12-31,NA,4,NA
NA,TOTAL,NA,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,54.5,NA
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,4,NA
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,15.5,NA
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,5.5,NA
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,7,NA
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,8,NA
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2.5,NA
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,12,NA
NA,TOTAL,NA,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,113.5,NA
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,7.5,NA
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2,NA
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2.5,NA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,3.5,NA
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,17.5,NA
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,6,NA
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,12.5,NA
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,20.5,NA
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,20,NA
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,NA,12/31/88,1988-12-31,NA,22,NA
NA,TOTAL,NA,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,86,NA
ALASKA,ALASKA,AK,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,3.5,NA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0.5,NA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,21.5,NA
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2,NA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,1.5,NA
HAWAII,HAWAII,HI,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
IDAHO,IDAHO,ID,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,7,NA
MONTANA,MONTANA,MT,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,20,NA
NEVADA,NEVADA,NV,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
OREGON,OREGON,OR,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,10.5,NA
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,18,NA
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
GUAM,GUAM,GUAM,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NA,TOTAL,NA,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,54.5,NA
COLORADO,COLORADO,CO,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,19,NA
KANSAS,KANSAS,KS,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,10.5,NA
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2.5,NA
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,1,NA
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,3,NA
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,15.5,NA
UTAH,UTAH,UT,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,3,NA
WYOMING,WYOMING,WY,TENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,0,NA
NA,TOTAL,NA,ELEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,31,NA
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,-1.5,NA
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,4.5,NA
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,NA,12/31/88,1988-12-31,NA,2,NA
