STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,31,06/30/02,2002-06-30
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,3,06/30/02,2002-06-30
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,1,06/30/02,2002-06-30
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/02,2002-06-30
IDAHO,IDAHO,ID,NINTH CIRCUIT,9,06/30/02,2002-06-30
MONTANA,MONTANA,MT,NINTH CIRCUIT,7,06/30/02,2002-06-30
NEVADA,NEVADA,NV,NINTH CIRCUIT,0,06/30/02,2002-06-30
OREGON,OREGON,OR,NINTH CIRCUIT,13,06/30/02,2002-06-30
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,22,06/30/02,2002-06-30
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,0,06/30/02,2002-06-30
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/02,2002-06-30
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/02,2002-06-30
,TOTAL,,TENTH CIRCUIT,62,06/30/02,2002-06-30
COLORADO,COLORADO,CO,TENTH CIRCUIT,2,06/30/02,2002-06-30
KANSAS,KANSAS,KS,TENTH CIRCUIT,22,06/30/02,2002-06-30
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,3,06/30/02,2002-06-30
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,1,06/30/02,2002-06-30
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,4,06/30/02,2002-06-30
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,28,06/30/02,2002-06-30
UTAH,UTAH,UT,TENTH CIRCUIT,2,06/30/02,2002-06-30
WYOMING,WYOMING,WY,TENTH CIRCUIT,0,06/30/02,2002-06-30
,TOTAL,,ELEVENTH CIRCUIT,23,06/30/02,2002-06-30
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,6,06/30/02,2002-06-30
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,0,06/30/02,2002-06-30
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,06/30/02,2002-06-30
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,2,06/30/02,2002-06-30
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,3,06/30/02,2002-06-30
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,06/30/02,2002-06-30
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,0,06/30/02,2002-06-30
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,10,06/30/02,2002-06-30
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,2,06/30/02,2002-06-30
,TOTAL,,TOTAL,383,12/31/01,2001-12-31
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,FIRST CIRCUIT,4,12/31/01,2001-12-31
MAINE,MAINE,ME,FIRST CIRCUIT,2,12/31/01,2001-12-31
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1,12/31/01,2001-12-31
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,12/31/01,2001-12-31
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,12/31/01,2001-12-31
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,1,12/31/01,2001-12-31
,TOTAL,,SECOND CIRCUIT,13,12/31/01,2001-12-31
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,8,12/31/01,2001-12-31
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,7,12/31/01,2001-12-31
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,12/31/01,2001-12-31
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,1,12/31/01,2001-12-31
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,2,12/31/01,2001-12-31
VERMONT,VERMONT,VT,SECOND CIRCUIT,1,12/31/01,2001-12-31
,TOTAL,,THIRD CIRCUIT,4,12/31/01,2001-12-31
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,12/31/01,2001-12-31
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,12/31/01,2001-12-31
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,2,12/31/01,2001-12-31
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,0,12/31/01,2001-12-31
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,1,12/31/01,2001-12-31
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,FOURTH CIRCUIT,17,12/31/01,2001-12-31
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,0,12/31/01,2001-12-31
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,8,12/31/01,2001-12-31
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,12/31/01,2001-12-31
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,2,12/31/01,2001-12-31
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,2,12/31/01,2001-12-31
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,0,12/31/01,2001-12-31
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,4,12/31/01,2001-12-31
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,12/31/01,2001-12-31
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,12/31/01,2001-12-31
,TOTAL,,FIFTH CIRCUIT,36,12/31/01,2001-12-31
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,1,12/31/01,2001-12-31
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,12/31/01,2001-12-31
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,6,12/31/01,2001-12-31
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,3,12/31/01,2001-12-31
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,2,12/31/01,2001-12-31
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,17,12/31/01,2001-12-31
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,2,12/31/01,2001-12-31
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,2,12/31/01,2001-12-31
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,3,12/31/01,2001-12-31
,TOTAL,,SIXTH CIRCUIT,10,12/31/01,2001-12-31
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,12/31/01,2001-12-31
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,1,12/31/01,2001-12-31
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,12/31/01,2001-12-31
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,3,12/31/01,2001-12-31
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,12/31/01,2001-12-31
