STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,TENTH CIRCUIT,36,09/30/01,2001-09-30
COLORADO,COLORADO,CO,TENTH CIRCUIT,2,09/30/01,2001-09-30
KANSAS,KANSAS,KS,TENTH CIRCUIT,11,09/30/01,2001-09-30
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,2,09/30/01,2001-09-30
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,1,09/30/01,2001-09-30
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,4,09/30/01,2001-09-30
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,16,09/30/01,2001-09-30
UTAH,UTAH,UT,TENTH CIRCUIT,0,09/30/01,2001-09-30
WYOMING,WYOMING,WY,TENTH CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,ELEVENTH CIRCUIT,14,09/30/01,2001-09-30
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,3,09/30/01,2001-09-30
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,0,09/30/01,2001-09-30
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,0,09/30/01,2001-09-30
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,2,09/30/01,2001-09-30
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,1,09/30/01,2001-09-30
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,09/30/01,2001-09-30
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,0,09/30/01,2001-09-30
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,7,09/30/01,2001-09-30
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,1,09/30/01,2001-09-30
,TOTAL,,TOTAL,160,06/30/01,2001-06-30
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,FIRST CIRCUIT,1,06/30/01,2001-06-30
MAINE,MAINE,ME,FIRST CIRCUIT,1,06/30/01,2001-06-30
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,06/30/01,2001-06-30
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,06/30/01,2001-06-30
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/01,2001-06-30
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,SECOND CIRCUIT,5,06/30/01,2001-06-30
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,06/30/01,2001-06-30
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,3,06/30/01,2001-06-30
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/01,2001-06-30
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,06/30/01,2001-06-30
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,1,06/30/01,2001-06-30
VERMONT,VERMONT,VT,SECOND CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,THIRD CIRCUIT,0,06/30/01,2001-06-30
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,06/30/01,2001-06-30
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,0,06/30/01,2001-06-30
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,06/30/01,2001-06-30
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,0,06/30/01,2001-06-30
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,0,06/30/01,2001-06-30
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,FOURTH CIRCUIT,8,06/30/01,2001-06-30
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,0,06/30/01,2001-06-30
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,5,06/30/01,2001-06-30
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,06/30/01,2001-06-30
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,1,06/30/01,2001-06-30
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,0,06/30/01,2001-06-30
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,0,06/30/01,2001-06-30
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,1,06/30/01,2001-06-30
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,06/30/01,2001-06-30
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,FIFTH CIRCUIT,16,06/30/01,2001-06-30
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,06/30/01,2001-06-30
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,06/30/01,2001-06-30
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,1,06/30/01,2001-06-30
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,2,06/30/01,2001-06-30
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,1,06/30/01,2001-06-30
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,9,06/30/01,2001-06-30
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,1,06/30/01,2001-06-30
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,1,06/30/01,2001-06-30
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,1,06/30/01,2001-06-30
,TOTAL,,SIXTH CIRCUIT,5,06/30/01,2001-06-30
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,06/30/01,2001-06-30
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,0,06/30/01,2001-06-30
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,06/30/01,2001-06-30
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,2,06/30/01,2001-06-30
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,06/30/01,2001-06-30
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,2,06/30/01,2001-06-30
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,1,06/30/01,2001-06-30
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,06/30/01,2001-06-30
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,0,06/30/01,2001-06-30
,TOTAL,,SEVENTH CIRCUIT,22,06/30/01,2001-06-30
